cart_id,customer_id,product_id,product_name,category,price,quantity,cart_total,abandoned_at
K0001,C0001,P016,Touchscreen Gloves,gloves,59.0,1,247.0,2026-01-10T02:59:00+00:00
K0001,C0001,P004,Thermal Insulated Boots,boots,149.0,1,247.0,2026-01-10T02:59:00+00:00
K0001,C0001,P008,Long Sleeve Thermal,thermal,39.0,1,247.0,2026-01-10T02:59:00+00:00
K0002,C0002,P022,Fleece Lined Jacket,jacket,189.0,1,976.0,2026-01-14T16:13:00+00:00
K0002,C0002,P013,Trench Coat,coat,329.0,2,976.0,2026-01-14T16:13:00+00:00
K0002,C0002,P009,Snow Pants,pants,129.0,1,976.0,2026-01-14T16:13:00+00:00
K0003,C0003,P010,Warm Fleece Socks,socks,19.0,1,19.0,2026-01-13T16:09:00+00:00
K0004,C0004,P021,Parka Coat,coat,249.0,1,249.0,2026-01-12T14:12:00+00:00
K0005,C0005,P022,Fleece Lined Jacket,jacket,189.0,1,247.0,2026-01-10T10:41:00+00:00
K0005,C0005,P005,Woven Wool Scarf,scarf,29.0,2,247.0,2026-01-10T10:41:00+00:00
K0006,C0006,P002,Fleece Lined Sweater,sweater,69.0,1,268.0,2026-01-13T01:13:00+00:00
K0006,C0006,P019,Ski Pants,pants,199.0,1,268.0,2026-01-13T01:13:00+00:00
K0007,C0007,P007,Cable Knit Hat,hat,25.0,1,25.0,2026-01-11T00:27:00+00:00
K0008,C0008,P009,Snow Pants,pants,129.0,1,178.0,2026-01-12T02:13:00+00:00
K0008,C0008,P006,Waterproof Gloves,gloves,49.0,1,178.0,2026-01-12T02:13:00+00:00
K0009,C0009,P004,Thermal Insulated Boots,boots,149.0,1,1005.0,2026-01-09T14:35:00+00:00
K0009,C0009,P015,Faux Fur Scarf,scarf,39.0,2,1005.0,2026-01-09T14:35:00+00:00
K0009,C0009,P003,Down Filled Coat,coat,389.0,2,1005.0,2026-01-09T14:35:00+00:00
K0010,C0010,P018,Base Layer Thermal,thermal,49.0,1,637.0,2026-01-12T00:17:00+00:00
K0010,C0010,P012,Cashmere Sweater,sweater,199.0,1,637.0,2026-01-12T00:17:00+00:00
K0010,C0010,P003,Down Filled Coat,coat,389.0,1,637.0,2026-01-12T00:17:00+00:00
K0011,C0011,P009,Snow Pants,pants,129.0,1,328.0,2026-01-13T08:17:00+00:00
K0011,C0011,P019,Ski Pants,pants,199.0,1,328.0,2026-01-13T08:17:00+00:00
K0012,C0012,P001,Winter Parka,jacket,229.0,1,229.0,2026-01-11T01:02:00+00:00
K0013,C0013,P021,Parka Coat,coat,249.0,1,638.0,2026-01-10T02:19:00+00:00
K0013,C0013,P003,Down Filled Coat,coat,389.0,1,638.0,2026-01-10T02:19:00+00:00
K0014,C0014,P005,Woven Wool Scarf,scarf,29.0,1,29.0,2026-01-15T02:29:00+00:00
K0015,C0015,P008,Long Sleeve Thermal,thermal,39.0,2,78.0,2026-01-13T23:31:00+00:00
K0016,C0016,P018,Base Layer Thermal,thermal,49.0,1,49.0,2026-01-09T12:51:00+00:00
K0017,C0017,P021,Parka Coat,coat,249.0,1,606.0,2026-01-10T00:47:00+00:00
K0017,C0017,P004,Thermal Insulated Boots,boots,149.0,2,606.0,2026-01-10T00:47:00+00:00
K0017,C0017,P016,Touchscreen Gloves,gloves,59.0,1,606.0,2026-01-10T00:47:00+00:00
K0018,C0018,P008,Long Sleeve Thermal,thermal,39.0,2,78.0,2026-01-14T14:37:00+00:00
K0019,C0019,P021,Parka Coat,coat,249.0,1,448.0,2026-01-14T21:55:00+00:00
K0019,C0019,P012,Cashmere Sweater,sweater,199.0,1,448.0,2026-01-14T21:55:00+00:00
K0020,C0020,P021,Parka Coat,coat,249.0,2,527.0,2026-01-13T04:52:00+00:00
K0020,C0020,P020,Merino Socks,socks,29.0,1,527.0,2026-01-13T04:52:00+00:00
K0021,C0021,P007,Cable Knit Hat,hat,25.0,1,414.0,2026-01-11T05:08:00+00:00
K0021,C0021,P003,Down Filled Coat,coat,389.0,1,414.0,2026-01-11T05:08:00+00:00
K0022,C0022,P011,Mountain Jacket,jacket,279.0,1,366.0,2026-01-13T18:44:00+00:00
K0022,C0022,P005,Woven Wool Scarf,scarf,29.0,2,366.0,2026-01-13T18:44:00+00:00
K0022,C0022,P020,Merino Socks,socks,29.0,1,366.0,2026-01-13T18:44:00+00:00
K0023,C0023,P004,Thermal Insulated Boots,boots,149.0,2,487.0,2026-01-13T04:23:00+00:00
K0023,C0023,P022,Fleece Lined Jacket,jacket,189.0,1,487.0,2026-01-13T04:23:00+00:00
K0024,C0024,P006,Waterproof Gloves,gloves,49.0,1,49.0,2026-01-13T12:34:00+00:00
K0025,C0025,P003,Down Filled Coat,coat,389.0,1,448.0,2026-01-11T08:32:00+00:00
K0025,C0025,P016,Touchscreen Gloves,gloves,59.0,1,448.0,2026-01-11T08:32:00+00:00
K0026,C0026,P020,Merino Socks,socks,29.0,1,167.0,2026-01-09T19:41:00+00:00
K0026,C0026,P002,Fleece Lined Sweater,sweater,69.0,2,167.0,2026-01-09T19:41:00+00:00
K0027,C0027,P001,Winter Parka,jacket,229.0,1,229.0,2026-01-11T23:33:00+00:00
K0028,C0028,P016,Touchscreen Gloves,gloves,59.0,1,98.0,2026-01-11T07:56:00+00:00
K0028,C0028,P015,Faux Fur Scarf,scarf,39.0,1,98.0,2026-01-11T07:56:00+00:00
K0029,C0029,P020,Merino Socks,socks,29.0,1,29.0,2026-01-10T13:40:00+00:00
K0030,C0030,P020,Merino Socks,socks,29.0,1,29.0,2026-01-11T19:22:00+00:00
K0031,C0031,P004,Thermal Insulated Boots,boots,149.0,2,298.0,2026-01-09T18:14:00+00:00
K0032,C0032,P014,Shearling Boots,boots,299.0,1,377.0,2026-01-10T08:40:00+00:00
K0032,C0032,P015,Faux Fur Scarf,scarf,39.0,1,377.0,2026-01-10T08:40:00+00:00
K0032,C0032,P008,Long Sleeve Thermal,thermal,39.0,1,377.0,2026-01-10T08:40:00+00:00
K0033,C0033,P022,Fleece Lined Jacket,jacket,189.0,1,189.0,2026-01-13T14:01:00+00:00
K0034,C0034,P003,Down Filled Coat,coat,389.0,1,389.0,2026-01-14T22:54:00+00:00
K0035,C0035,P012,Cashmere Sweater,sweater,199.0,1,228.0,2026-01-10T18:39:00+00:00
K0035,C0035,P005,Woven Wool Scarf,scarf,29.0,1,228.0,2026-01-10T18:39:00+00:00
K0036,C0036,P014,Shearling Boots,boots,299.0,2,996.0,2026-01-11T12:57:00+00:00
K0036,C0036,P012,Cashmere Sweater,sweater,199.0,2,996.0,2026-01-11T12:57:00+00:00
K0037,C0037,P020,Merino Socks,socks,29.0,1,247.0,2026-01-12T04:06:00+00:00
K0037,C0037,P010,Warm Fleece Socks,socks,19.0,1,247.0,2026-01-12T04:06:00+00:00
K0037,C0037,P012,Cashmere Sweater,sweater,199.0,1,247.0,2026-01-12T04:06:00+00:00
K0038,C0038,P018,Base Layer Thermal,thermal,49.0,1,49.0,2026-01-09T03:24:00+00:00
K0039,C0039,P014,Shearling Boots,boots,299.0,1,299.0,2026-01-08T16:21:00+00:00
K0040,C0040,P018,Base Layer Thermal,thermal,49.0,1,278.0,2026-01-10T03:59:00+00:00
K0040,C0040,P001,Winter Parka,jacket,229.0,1,278.0,2026-01-10T03:59:00+00:00
K0041,C0041,P010,Warm Fleece Socks,socks,19.0,2,38.0,2026-01-13T11:49:00+00:00
K0042,C0042,P019,Ski Pants,pants,199.0,1,1046.0,2026-01-14T12:27:00+00:00
K0042,C0042,P022,Fleece Lined Jacket,jacket,189.0,1,1046.0,2026-01-14T12:27:00+00:00
K0042,C0042,P013,Trench Coat,coat,329.0,2,1046.0,2026-01-14T12:27:00+00:00
K0043,C0043,P014,Shearling Boots,boots,299.0,1,299.0,2026-01-14T00:41:00+00:00
K0044,C0044,P019,Ski Pants,pants,199.0,1,228.0,2026-01-13T16:57:00+00:00
